Likes,Love,Haha,Wow,Sad,Angry,Comments,Shares,Views
117,9,8,2,1,0,149,4,0
87,47,32,5,1,1,3,4,0
2600,3,6,0,0,1,32,41,0
269,4,2,2,1,0,50,16,0
283,2,1,0,0,0,174,9,0
209,33,23,5,2,1,2,16,5200
117,3,1,0,0,0,13,6,0
263,2,1,0,0,0,148,9,0
375,6,4,6,0,0,62,29,0
3100,33,34,9,4,4,60,81,0
3400,37,18,4,2,0,37,47,0
279,24,29,7,0,0,178,9,0
318,33,14,7,0,1,64,7,0
3300,1,0,0,0,0,69,57,0
246,8,2,0,0,1,0,4,0
3500,9,0,3,0,1,165,92,0
172,0,0,0,0,0,6,0,0
3200,3,0,1,0,0,31,32,0
329,54,38,0,0,1,12,5,0
1400,23,10,3,0,0,21,24,0
5801,6,3,1,0,0,43,85,0
427,1,0,1,0,0,29,25,0
551,11,2,2,1,7,63,43,0
7900,2,2,0,0,0,217,259,0
6300,0,1,0,0,0,277,186,0
333,3,2,0,0,0,15,12,0
5800,12,1,3,0,1,162,129,0
6100,3,0,1,0,1,160,150,0
198,10,1,2,0,1,22,0,0
78,7,5,1,0,0,0,0,0
1000,13,2,8,0,0,217,263,0
5800,9,57,3,0,0,239,215,0
143,4,0,4,0,0,0,6,5300
612,15,5,16,0,2,56,43,0
324,29,5,10,2,1,13,15,0
342,4,0,0,0,0,6,18,0
246,19,1,9,1,2,4,13,0
328,78,11,54,3,4,1,4,0
229,35,5,22,0,0,161,210,0
184,47,11,9,4,1,3,9,0
275,36,4,17,0,1,5,11,0
315,9,0,4,0,0,1,14,0
272,3,0,0,0,0,4,20,0
254,8,0,4,0,0,17,81,0
273,5,0,2,0,0,9,9,0
287,3,0,0,0,1,6,14,0
349,34,113,20,2,7,18,20,0
223,10,4,1,0,0,5,13,0
306,11,1,7,0,0,18,24,0
373,5,0,2,0,0,17,19,0
467,24,3,10,0,1,41,2,0
427,3,0,3,0,0,30,38,0
3400,3,1,1,0,0,131,153,0
1400,76,16,62,2,1,46,24,0
6500,2,2,1,0,0,86,103,0
6700,8,3,9,0,4,147,116,0
211,27,15,9,0,0,7,3,0
297,8,0,8,0,0,13,28,0
100,6,1,1,0,0,1,3,3800
215,12,41,3,0,0,7,6,0
7200,6,0,2,0,0,62,67,0
9800,2,29,1,0,2,234,243,0
229,8,5,14,0,0,6,9,0
85,39,1,24,0,1,10,3,0
385,43,8,20,0,2,18,18,0
235,8,3,1,0,0,8,6,0
98,4,3,0,0,0,2,3,1300
565,37,5,25,1,0,25,52,0
217,5,0,2,0,0,2,7,0
331,57,8,55,1,3,14,14,0
2600,5,0,0,0,0,112,103,0
5200,21,5,24,0,3,21,75,0
239,7,0,1,1,4,8,9,0
197,29,15,8,0,0,4,8,0
666,76,12,41,3,1,34,43,0
4300,10,0,6,0,1,82,113,0
575,8,13,9,0,0,57,55,0
1100,79,34,27,0,2,1400,260,0
485,82,9,76,2,2,63,28,0
1100,5,1,2,0,0,164,123,0
215,79,17,63,2,1,13,5,0
1200,76,10,48,1,4,50,27,0
4900,5,1,0,5,0,28,33,0
843,0,0,1,0,0,31,22,0
558,147,22,130,2,2,78,32,0
7700,118,21,86,21,9,112,149,0
401,2,0,2,0,0,18,48,0
2000,9,1,10,1,1,6,19,0
668,5,0,1,0,0,52,28,0
565,8,1,0,0,1,35,20,0
2900,7,0,0,0,1,179,112,0
1500,5,0,1,0,0,176,69,0
630,6,8,2,1,0,48,28,0
3500,47,5,5,1,1,44,29,0
170,3,6,0,0,1,0,4,0
1000,4,2,2,1,0,193,52,0
152,2,1,0,0,0,2,6,0
8400,33,21,5,2,1,504,348,0
558,3,1,0,0,0,32,23,0
298,2,1,0,0,0,1,8,0
570,3,4,6,0,0,54,22,0
396,33,34,9,4,4,13,11,0
161,37,18,4,2,0,9,6,0
3700,24,29,7,0,0,97,90,0
1600,33,14,7,0,1,19,29,0
1000,1,0,0,0,0,178,79,0
5100,8,2,0,0,1,197,110,0
408,9,0,3,0,1,11,5,0
160,0,0,0,0,0,4,1,0
143,3,0,1,0,0,28,2,0
116,54,38,0,0,1,9,1,0
599,23,10,3,0,0,63,11,0
370,6,3,1,0,0,35,10,0
225,1,0,1,0,0,20,2,0
437,11,2,2,1,7,42,23,0
6800,2,2,0,0,0,213,146,0
7600,0,1,0,0,0,151,111,0
198,3,2,0,0,0,6,11,0
521,12,1,3,0,1,14,8,0
484,3,0,1,0,1,25,21,0
1100,10,1,2,0,1,16,12,0
568,7,5,1,0,0,40,26,0
157,13,2,8,0,0,5,5,4900
300,9,57,3,0,0,11,0,0
292,4,0,4,0,0,13,9,0
445,15,5,16,0,2,175,377,0
1600,29,5,10,2,1,107,46,0
318,4,0,0,0,0,9,9,0
1100,19,1,9,1,2,5,13,0
2100,78,11,54,3,4,218,116,0
265,35,5,22,0,0,8,6,0
585,47,11,9,4,1,45,45,0
170,36,4,17,0,1,2,1,0
355,9,0,4,0,0,1,4,0
819,3,0,0,0,0,79,63,0
550,8,0,4,0,0,28,40,0
162,5,0,2,0,0,3,4,5300
3400,3,0,0,0,1,4,8,0
275,34,113,20,2,7,3,4,0
652,10,4,1,0,0,43,45,0
1900,11,1,7,0,0,18,35,0
1600,5,0,2,0,0,5,8,0
4400,24,3,10,0,1,89,79,0
350,3,0,3,0,0,15,9,0
60,3,1,1,0,0,2,2,1600
614,56,16,62,2,1,24,31,0
531,2,2,1,0,0,18,20,0
591,8,3,9,0,4,41,28,0
406,27,10,9,0,0,10,3,0
839,8,0,8,0,0,128,75,0
775,6,1,1,0,0,58,63,2400
339,12,41,3,0,0,1,5,0
2900,6,0,2,0,0,242,165,0
514,2,29,1,0,2,33,18,0
1200,8,5,14,0,0,178,78,0
497,39,1,21,0,1,27,19,0
486,43,8,20,0,2,43,14,0
7900,8,3,1,0,0,101,111,0
6200,4,3,0,0,0,195,132,0
211,37,5,25,1,0,8,1,0
559,5,0,2,0,0,45,21,0
7500,57,8,43,1,3,166,105,0
360,5,0,0,0,0,22,12,0
407,21,5,24,0,3,35,15,0
6900,7,0,1,1,4,100,98,0
359,29,15,8,0,0,11,7,0
9300,76,12,41,3,1,252,143,0
940,10,0,6,0,1,71,37,0
640,8,13,9,0,0,21,25,0
992,79,34,27,0,2,143,36,0
4700,82,9,76,2,2,268,92,0
5800,5,1,2,0,0,221,114,0
1100,79,17,63,2,1,127,51,0
882,76,10,48,1,4,69,53,0
392,5,1,0,5,0,23,12,0
157,0,0,1,0,0,4,7,7500
829,147,22,130,2,2,77,41,0
941,118,21,86,21,9,137,41,0
9200,2,0,2,0,0,411,298,0
5400,9,1,10,1,1,182,131,0
1400,5,0,1,0,0,337,64,0
6600,8,1,0,0,1,299,160,0
663,7,0,0,0,1,21,18,0
671,7,3,1,0,0,67,20,0
470,3,4,6,0,0,18,19,0
1000,33,34,9,4,4,225,57,0
729,37,18,4,2,0,93,47,0
7000,24,29,7,0,0,69,88,0
151,33,14,7,0,1,35,5,0
1000,1,0,0,0,0,164,48,0
1200,8,2,0,0,1,42,70,0
4200,9,0,3,0,1,193,185,0
395,0,0,0,0,0,556,34,0
89,3,0,1,0,0,2,1,0
679,54,38,0,0,1,30,34,0
652,23,10,3,0,0,60,17,0
701,6,3,1,0,0,64,42,0
7300,1,0,1,0,0,423,314,0
758,11,2,2,1,7,65,39,0
465,2,2,0,0,0,3,30,0
203,0,1,0,0,0,20,3,0
1100,3,2,0,0,0,141,81,0
191,12,1,3,0,1,4,2,0
404,3,0,1,0,1,407,61,0
651,10,1,2,0,1,91,51,0
252,7,5,1,0,0,1,4,0
297,13,2,8,0,0,3,4,0
957,9,57,3,0,0,62,71,0
249,4,0,4,0,0,8,10,0
715,15,5,16,0,2,61,57,0
182,29,5,10,2,1,5,5,0
1900,4,0,0,0,0,48,121,0
156,19,1,9,1,2,9,0,0
1200,78,11,54,3,4,271,91,0
380,35,5,22,0,0,6,22,0
126,47,11,9,4,1,7,5,0
579,36,4,17,0,1,11,2,0
265,9,0,4,0,0,6,7,0
1300,3,0,0,0,0,249,85,0
446,8,0,4,0,0,25,15,0
199,5,0,2,0,0,25,31,0
577,3,0,0,0,1,60,26,0
761,34,113,20,2,7,101,45,0
700,10,4,1,0,0,106,30,0
1000,11,1,7,0,0,128,60,0
805,5,0,2,0,0,105,65,0
227,24,3,10,0,1,26,45,0
723,3,0,3,0,0,97,38,0
1000,3,1,1,0,0,112,73,0
1200,56,16,62,2,1,208,111,0
457,2,2,1,0,0,34,19,0
157,8,3,9,0,4,8,13,5800
894,27,10,9,0,0,153,46,0
8800,8,0,8,0,0,400,245,0
302,6,1,1,0,0,15,6,0
604,12,41,3,0,0,55,31,0
190,6,0,2,0,0,34,32,0
2800,2,29,1,0,2,71,73,0
1200,8,5,14,0,0,88,58,0
304,39,1,21,0,1,10,2,0
4200,43,8,20,0,2,108,97,0
848,8,3,1,0,0,44,40,0
151,4,3,0,0,0,24,0,0
819,37,5,25,1,0,61,80,3200
645,5,0,2,0,0,1000,72,0
261,57,8,43,1,3,14,8,0
575,5,0,0,0,0,59,37,0
291,21,5,24,0,3,10,28,0
126,7,0,1,1,4,21,8,0
62,29,15,8,0,0,9,2,0
110,76,12,41,3,1,30,6,0
273,10,0,6,0,1,112,6,0
332,8,13,9,0,0,698,51,0
517,79,34,27,0,2,50,31,0
340,82,9,76,2,2,659,65,0
341,5,1,2,0,0,634,32,0
313,79,17,63,2,1,477,56,0
97,76,10,48,1,4,10,1,0
199,5,1,0,5,0,56,8,0
355,0,0,1,0,0,544,82,0
555,147,22,130,2,2,589,101,0
950,118,21,86,21,9,220,100,0
128,2,0,2,0,0,11,0,0
314,9,1,10,1,1,397,43,0
167,5,0,1,0,0,7,1,0
1100,8,1,0,0,1,214,81,0
169,7,0,0,0,1,42,7,0
307,7,3,1,0,0,444,31,0
400,21,5,24,0,3,55,33,0
6100,7,0,1,1,4,647,381,0
597,29,15,8,0,0,70,59,0
223,76,12,41,3,1,11,11,0
6000,10,0,6,0,1,89,166,0
221,8,13,9,0,0,1,1,0
427,79,34,27,0,2,22,8,0
457,82,9,76,2,2,50,18,0
5500,5,1,2,0,0,50,44,0
445,79,17,63,2,1,23,58,0
135,76,10,48,1,4,1,1,0
130,5,1,0,5,0,15,4,0
135,0,0,1,0,0,1,3,0
356,120,22,67,2,2,34,19,0
1500,45,21,86,21,9,9,10,0
89,2,0,2,0,0,0,1,0
124,9,1,10,1,1,14,3,0
101,5,0,1,0,0,3,0,0
282,2,1,0,0,1,0,4,0
192,7,2,0,1,1,1,7,0
149,4,3,1,0,0,10,25,0
290,82,9,76,2,2,16,25,2300
1000,5,1,2,0,0,469,55,0
844,79,12,63,2,1,40,82,6900
159,76,10,48,1,4,1,1,0
542,5,1,0,5,0,43,36,0
659,0,0,1,0,0,7,5,0
651,132,22,130,2,2,14,10,0
669,121,21,86,21,9,123,75,0
271,2,0,2,1,0,7,15,0
783,9,1,10,1,1,30,121,0
